"Date - Intl. format or prompt","Text","Link(s) - Separated by comma for FB carousels","Media URL(s) - Separated by comma","Title - For the video, pin, PDF ..","Label(s) - Separated by comma","Alt text(s) - Separated by ||","Comment(s) - Separated by ||","Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..","CTA - For Facebook links or Google","Reminder - For stories, reels, shorts, and TikToks"
"2025-10-31 09:00","It was that bad.

Your brain minimizes trauma as a protective mechanism, but that doesn't change the reality of what you endured. Trust what you experienced, not what others saw. 💚

#traumarecovery #healing #validation #yourenotalone #emotionalabuse #cptsd #itsnotyourfault #selfcompassion #mentalhealth #traumahealing #narcissisticabuse #support #understanding #bekind #youmatter","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/it-was-that-bad.png","","Empathetic","","","","","",""
"2025-10-31 13:00","You're not crazy. You see the pattern now.

Recognizing the cycle of manipulation is clarity breaking through the fog. You questioned yourself because they wanted you to. But your reality is valid. 💚

#traumarecovery #healing #validation #yourenotalone #emotionalabuse #cptsd #itsnotyourfault #selfcompassion #mentalhealth #traumahealing #narcissisticabuse #support #understanding #bekind #youmatter","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/youre-not-crazy-you-see-the-pattern-now.png","","Empathetic","","","","","",""
"2025-10-31 19:00","No contact is survival, not cruelty.

Protecting your peace isn't punishment—it's self-preservation. You don't owe access to anyone who weaponized your trust. 💚

#narcissisticabuse #traumarecovery #healing #survivor #strength #freedom #boundaries #selfcare #empowerment #clarity #truthovertactic #healingjourney #breakfree #youvegotthis #divorcerecovery","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/no-contact-is-survival-not-cruelty.png","","Empowered","","","","","",""
"2025-11-01 09:00","You survived 100% of your worst days.

Every moment you thought you couldn't make it through, you did. That's not luck—that's strength you already possess. 💚

#narcissisticabuse #traumarecovery #healing #survivor #strength #freedom #boundaries #selfcare #empowerment #clarity #truthovertactic #healingjourney #breakfree #youvegotthis #divorcerecovery","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/you-survived-100-percent-of-your-worst-days.png","","Empowered","","","","","",""
"2025-11-01 13:00","None of this was your fault.

You didn't cause their abuse. You didn't deserve their cruelty. You were targeted because of your capacity to love, not because of any flaw in you. 💚

#traumarecovery #healing #validation #yourenotalone #emotionalabuse #cptsd #itsnotyourfault #selfcompassion #mentalhealth #traumahealing #narcissisticabuse #support #understanding #bekind #youmatter","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/none-of-this-was-your-fault.png","","Empathetic","","","","","",""
"2025-11-01 19:00","Documentation is your defense.

Words fade, memories blur, but evidence speaks. Every text, email, and incident documented becomes your truth when they try to rewrite history. 💚

#narcissisticabuse #gaslighting #emotionalabuse #toxicrelationships #truth #awareness #nocontact #callitout #abuse #manipulation #narcissist #stopthesilence #speaktruth #divorcerecovery #truthovertactic","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/documentation-is-your-defense.png","","Frustrated","","","","","",""
"2025-11-02 09:00","Thousands broke free. You can too.

You're not the first to face this, and you won't be the last to overcome it. Freedom is possible. You're already on the path. 💚

#narcissisticabuse #traumarecovery #healing #survivor #strength #freedom #boundaries #selfcare #empowerment #clarity #truthovertactic #healingjourney #breakfree #youvegotthis #divorcerecovery","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/real-love-doesnt-hurt.png","","Empowered","","","","","",""
"2025-11-02 13:00","Your capacity to love is strength, not weakness.

They exploited your empathy, but that doesn't make loving wrong. It makes their manipulation wrong. Your heart isn't the problem. 💚

#traumarecovery #healing #validation #yourenotalone #emotionalabuse #cptsd #itsnotyourfault #selfcompassion #mentalhealth #traumahealing #narcissisticabuse #support #understanding #bekind #youmatter","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/your-capacity-to-love-is-strength-not-weakness.png","","Empathetic","","","","","",""
"2025-11-02 19:00","From chaos to clarity is possible.

The fog lifts one truth at a time. You're not where you were, and you're closer to peace than you realize. Keep going. 💚

#narcissisticabuse #traumarecovery #healing #survivor #strength #freedom #boundaries #selfcare #empowerment #clarity #truthovertactic #healingjourney #breakfree #youvegotthis #divorcerecovery","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/from-chaos-clarity-is-possible.png","","Empowered","","","","","",""
"2025-11-03 09:00","You're not broken. You're traumatized.

Trauma responses aren't character flaws. They're survival adaptations to impossible situations. Healing is learning you're safe now. 💚

#traumarecovery #healing #validation #yourenotalone #emotionalabuse #cptsd #itsnotyourfault #selfcompassion #mentalhealth #traumahealing #narcissisticabuse #support #understanding #bekind #youmatter","","https://raw.githubusercontent.com/Truth-over-Tactic/social/main/images/scheduled/10312025/youre-not-broken-youre-traumatized.png","","Empathetic","","","","","",""
